event_id,account_id,event_type,event_time,source
TCK-0001,A1,signup,2026-04-01T10:00:00Z,web
TCK-0002,A1,activation,2026-04-01T11:00:00Z,web
TCK-0003,A2,signup,2026-04-01T12:00:00Z,web
TCK-0004,A3,signup,2026-04-02T10:00:00Z,web
TCK-0005,A3,activation,2026-04-02T11:00:00Z,web
TCK-0006,A4,signup,2026-04-02T12:00:00Z,web
TCK-0007,A5,signup,2026-04-03T09:00:00Z,web
TCK-0008,A5,purchase,2026-04-03T10:00:00Z,web
TCK-0009,A6,signup,2026-04-03T11:00:00Z,web
TCK-0010,A7,signup,2026-04-03T12:00:00Z,web
TCK-0011,A8,signup,2026-04-04T10:00:00Z,web
TCK-0012,A8,activation,2026-04-04T11:00:00Z,web
TCK-0013,A9,signup,2026-04-04T12:00:00Z,web
TCK-0014,A10,signup,2026-04-05T10:00:00Z,web
TCK-0015,A10,activation,2026-04-05T11:00:00Z,web
TCK-0016,A11,signup,2026-04-05T12:00:00Z,web
TCK-0017,A12,signup,2026-04-06T10:00:00Z,web
TCK-0018,A12,purchase,2026-04-06T11:00:00Z,web
TCK-0019,A13,signup,2026-04-06T12:00:00Z,web
TCK-0020,A14,signup,2026-04-07T10:00:00Z,web
TCK-0021,A14,activation,2026-04-07T11:00:00Z,web
TCK-0022,A15,signup,2026-04-07T12:00:00Z,web
TCK-0023,A16,signup,2026-04-08T10:00:00Z,web
TCK-0024,A17,signup,2026-04-08T11:00:00Z,web
TCK-0025,A18,signup,2026-04-08T12:00:00Z,web
TCK-0026,A19,signup,2026-04-09T10:00:00Z,web
TCK-0027,A20,signup,2026-04-09T11:00:00Z,web
TCK-0028,A21,signup,2026-04-09T12:00:00Z,web
TCK-0029,A22,signup,2026-04-10T10:00:00Z,web
TCK-0030,A23,signup,2026-04-10T11:00:00Z,web
TCK-0031,A24,signup,2026-04-10T12:00:00Z,web
TCK-0032,A25,signup,2026-04-11T10:00:00Z,web
TCK-0033,A26,signup,2026-04-11T11:00:00Z,web
TCK-0034,A27,signup,2026-04-11T12:00:00Z,web
TCK-0035,A28,signup,2026-04-12T10:00:00Z,web
TCK-0036,A29,signup,2026-04-12T11:00:00Z,web
TCK-0037,A30,signup,2026-04-12T12:00:00Z,web
TCK-0038,A31,signup,2026-04-13T10:00:00Z,web
TCK-0039,A32,signup,2026-04-13T11:00:00Z,web
TCK-0040,A33,signup,2026-04-13T12:00:00Z,web
evt-001,acct-100,signup,2026-04-01T10:00:00Z,web
evt-002,acct-100,activation,2026-04-01T10:12:00Z,web
evt-003,acct-100,purchase,2026-04-02T09:30:00Z,billing
evt-004,acct-101,signup,2026-04-02T13:15:00Z,web
evt-005,acct-101,activation,2026-04-03T15:10:00Z,mobile
evt-006,acct-102,signup,2026-04-03T16:05:00Z,web
evt-006,acct-102,purchase,2026-04-04T08:10:00Z,billing
evt-008,,activation,2026-04-04T11:30:00Z,mobile
evt-009,acct-103,signup,bad-timestamp,web
